County,Circuit,POC *(Not Originally in Scope),Isolation Device,Customers De‐Energized,Imminent De‐Energization Notification Sent,De‐Energized Date and Time,De‐energized Notification Sent,IC Approved Restoration Time,Imminent Re‐Energization Notification Sent,Re‐Energized (1st load),Customers Re-Energized (1st load),Re‐Energized (All load),Customers Re‐Energized (All load),Re‐energized Notification Sent,All Clear Notification,month,days,year
Los Angeles,SAND CANYON,1/14 ‐ 1/15,RAR0191,9.0,1/14/2021 01:27,1/14/2021 04:13,1/14/2021 04:20,1/17/2021 12:34,‐,‐,‐,1/17/2021 14:13,9.0,1/17/2021 14:33,1/21/2021 14:23,Jan,12-21,2021
Los Angeles,CUTHBERT,1/14 ‐ 1/15,CB,2355.0,1/14/2021 18:53,1/14/2021 21:11,1/14/2021 21:25,1/14/2021 22:52,‐,1/14/2021 21:27,458,1/15/2021 13:34,2355.0,‐,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,CUTHBERT,1/14 ‐ 1/15,RAR8623,84.0,‐,1/14/2021 23:42,1/14/2021 23:50,1/15/2021 05:15,‐,‐,‐,1/15/2021 14:10,84.0,1/15/2021 15:09,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,CUTHBERT,1/14 ‐ 1/15,RCS0036,498.0,‐,1/15/2021 00:37,‐,1/15/2021 05:15,‐,1/15/2021 05:55,471,1/15/2021 14:35,498.0,‐,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,DAVENPORT,1/14 ‐ 1/15,RAR0050,332.0,1/15/2021 01:50,1/15/2021 02:49,1/15/2021 03:16,1/15/2021 10:13,1/15/2021 10:37,1/15/2021 12:04,228,1/15/2021 12:07,332.0,1/15/2021 12:24,1/21/2021 14:06,Jan,12-21,2021
Los Angeles,LOUCKS,1/14 ‐ 1/15,RAR3431 (SHOVEL),55.0,1/15/2021 01:43,1/15/2021 02:55,1/15/2021 03:31,1/15/2021 10:13,1/15/2021 10:37,‐,‐,1/15/2021 11:04,55.0,1/15/2021 12:30,1/21/2021 14:23,Jan,12-21,2021
Los Angeles,SHOVEL,1/14 ‐ 1/15,RAR3431,54.0,1/15/2021 01:43,1/15/2021 02:55,1/15/2021 03:31,1/15/2021 10:13,1/15/2021 10:37,‐,‐,1/15/2021 11:04,54.0,1/15/2021 12:30,‐,Jan,12-21,2021
Los Angeles,PLATEAU,1/14 ‐ 1/15,RAR0051,188.0,1/14/2021 23:26,1/15/2021 03:00,1/15/2021 03:47,1/15/2021 11:22,11/15/2021 11:29,1/15/2021 13:17,180,1/15/2021 21:19,188.0,1/15/2021 22:21,1/21/2021 14:23,Jan,12-21,2021
Los Angeles;Ventura,BIG ROCK,1/14 ‐ 1/15,PS0473,119.0,‐,1/14/2021 08:14,1/14/2021 08:23,1/14/2021 11:46,1/14/2021 12:05,‐,‐,1/14/2021 12:28,119.0,1/14/2021 12:37,1/21/2021 14:34,Jan,12-21,2021
Los Angeles;Ventura,ENERGY,1/14 ‐ 1/15,"GS1321‐4, GS7920‐1",854.0,1/14/2021 07:27,1/14/2021 08:48,1/14/2021 09:24,1/17/2021 12:34,1/17/2021 12:55,1/14/2021 09:39,556,1/17/2021 14:52,854.0,‐,1/21/2021 14:34,Jan,12-21,2021
Los Angeles;Ventura,GUITAR,1/14 ‐ 1/15,RAR0402,42.0,1/14/2021 13:31,1/15/2021 03:22,1/15/2021 05:00,1/15/2021 11:22,11/15/2021 11:30,‐,‐,1/15/2021 15:13,42.0,1/15/2021 15:56,1/21/2021 14:34,Jan,12-21,2021
Los Angeles;Ventura,ENERGY,1/14 ‐ 1/15,RAR0490,817.0,1/15/2021 00:41,1/15/2021 09:32,1/15/2021 09:59,1/15/2021 14:53,1/15/2021 15:18,1/15/2021 15:51,805,1/15/2021 17:16,817.0,1/15/2021 16:57,1/21/2021 14:34,Jan,12-21,2021
Los Angeles;Ventura,BIG ROCK,1/14 ‐ 1/15,RCS0849‐2,2473.0,1/15/2021 0:34,1/15/2021 09:41,1/15/2021 09:52,1/15/2021 15:25,‐,‐,‐,1/15/2021 18:05,2473.0,1/15/2021 18:38,1/21/2021 14:34,Jan,12-21,2021
Riverside,BLACKHILLS,1/14 ‐ 1/15,RSR2544,577.0,1/14/2021 23:05,1/14/2021 23:48,‐,1/15/2021 14:27,1/15/2021 14:43,1/15/2021 01:25,347,1/15/2021 18:25,577.0,‐,1/21/2021 14:06,Jan,12-21,2021
Riverside;San Bernardino,LARCH,1/14 ‐ 1/15,RCS0849,0.0,‐,1/15/2021 01:35,‐,1/15/2021 14:22,‐,‐,‐,1/15/2021 23:41,0.0,‐,1/21/2021 14:06,Jan,12-21,2021
Riverside;San Bernardino,CABANA,1/14 ‐ 1/15,CB,2365.0,‐,1/15/2021 02:55,1/15/2021 03:40,1/15/2021 11:19,‐,1/15/2021 03:33,4,1/15/2021 13:43,2365.0,‐,1/21/2021 14:06,Jan,12-21,2021
San Bernardino,SWEETWATER,1/14 ‐ 1/15,RCS1451‐1,1267.0,1/14/2021 07:31,1/15/2021 02:28,1/15/2021 03:01,1/15/2021 07:03,1/15/2021 07:29,1/15/2021 07:59,1266,1/15/2021 13:51,1267.0,1/15/2021 14:24,1/21/2021 14:23,Jan,12-21,2021
San Bernardino,NORTHPARK,1/14 ‐ 1/15,RAR0824,625.0,1/15/2021 02:06,1/15/2021 02:33,1/15/2021 03:51,1/15/2021 14:00,1/15/2021 14:17,1/15/2021 15:06,72,1/15/2021 15:58,625.0,1/15/2021 16:20,1/21/2021 14:23,Jan,12-21,2021
San Bernardino,VARGAS,1/14 ‐ 1/15,RAR0828,394.0,‐,1/15/2021 02:36,1/15/2021 03:56,1/15/2021 16:04,1/15/2021 16:25,‐,‐,1/15/2021 16:29,394.0,1/15/2021 16:41,1/21/2021 14:23,Jan,12-21,2021
San Bernardino,CALSTATE,1/14 ‐ 1/15,RAR0868,9.0,1/14/2021 07:56,1/15/2021 02:58,1/15/2021 03:43,1/15/2021 14:47,1/15/2021 14:59,‐,‐,1/15/2021 15:43,9.0,1/15/2021 15:56,1/21/2021 14:06,Jan,12-21,2021
Ventura,TAPO,1/14 ‐ 1/15,PS0046,0.0,‐,1/13/2021 17:05,‐,1/21/2021 07:12,‐,‐,‐,1/21/2021 11:04,0.0,‐,1/21/2021 14:34,Jan,12-21,2021
Ventura,TWIN LAKES,1/14 ‐ 1/15,RCS1756‐2,286.0,‐,1/14/2021 08:04,1/14/2021 08:13,1/14/2021 11:46,1/14/2021 12:03,‐,‐,1/14/2021 12:15,286.0,1/14/2021 12:36,1/21/2021 14:34,Jan,12-21,2021
Ventura,ANTON,1/14 ‐ 1/15,"RAR0217, RAR1992",139.0,‐,1/15/2021 09:10,1/15/2021 09:18,1/15/2021 14:43,1/15/2021 14:57,1/15/2021 16:27,20,1/15/2021 17:05,139.0,1/15/2021 17:41,1/21/2021 14:34,Jan,12-21,2021
Ventura,TWIN LAKES,1/14 ‐ 1/15,RCS1756‐2,285.0,‐,1/15/2021 09:38,1/15/2021 09:51,1/15/2021 15:25,1/15/2021 16:07,‐,‐,1/15/2021 16:56,285.0,‐,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,CALGROVE,1/14 ‐ 1/15*,RAR0071,24.0,1/15/2021 11:36,1/15/2021 13:32,1/15/2021 13:36,1/15/2021 15:38,1/15/2021 15:58,‐,‐,1/15/2021 17:27,24.0,1/15/2021 17:42,1/21/2021 14:34,Jan,12-21,2021
Los Angeles;Ventura,ENERGY,1/16 ‐ 1/17,RAR0490,824.0,1/16/2021 16:12,1/16/2021 17:51,1/16/2021 18:00,1/17/2021 12:34,1/17/2021 12:55,1/16/2021 20:54,556,1/17/2021 14:52,824.0,1/16/2021 22:01,1/21/2021 14:34,Jan,12-21,2021
Ventura,ANTON,1/16 ‐ 1/17,"RAR0217, RAR1992",139.0,1/17/2021 07:02,1/17/2021 10:54,1/17/2021 11:01,1/17/2021 11:40,1/17/2021 11:47,1/17/2021 12:25,‐,1/17/2021 15:52,139.0,1/17/2021 16:54,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,CALGROVE,1/16 ‐ 1/17*,RAR0071,24.0,1/16/2021 10:23,1/16/2021 10:26,1/16/2021 10:56,1/16/2021 11:37,‐,‐,‐,1/16/2021 15:03,24.0,1/16/2021 11:43,1/21/2021 14:34,Jan,12-21,2021
Ventura,BELPAC,1/16 ‐ 1/17*,CB,3211.0,1/16/2021 13:23,1/16/2021 13:53,1/16/2021 13:55,1/16/2021 14:36,1/16/2021 17:23,1/16/2021 15:35,1344,1/16/2021 18:04,3211.0,1/16/2021 18:24,1/21/2021 14:34,Jan,12-21,2021
Fresno;Madera,SAGINAW,1/18 ‐ 1/20,"CB at BC3, BC4",4.0,‐,1/19/2021 01:13,‐,1/19/2021 19:13,‐,‐,‐,1/20/2021 11:39,4.0,‐,‐,Jan,12-21,2021
Kern,FROZEN,1/18 ‐ 1/20,CB,1.0,1/18/2021 07:35,1/18/2021 08:00,1/18/2021 08:22,1/21/2021 06:55,1/21/2021 07:12,‐,‐,1/21/2021 18:01,1.0,1/21/2021 18:59,1/21/2021 19:10,Jan,12-21,2021
Kern,GRAPEVINE PEAK,1/18 ‐ 1/20,PG&E FUSE#2447,4.0,‐,1/18/2021 08:03,‐,1/21/2021 06:55,‐,‐,‐,1/21/2021 18:30,4.0,‐,‐,Jan,12-21,2021
Kern,CONDOR,1/18 ‐ 1/20,RAR1573,322.0,1/19/2021 00:41,1/19/2021 01:37,1/19/2021 07:17,1/20/2021 00:32,1/20/2021 02:57,1/19/2021 01:39,288,1/20/2021 08:48,322.0,1/20/2021 09:25,1/21/2021 14:34,Jan,12-21,2021
Kern,METTLER,1/18 ‐ 1/20,CB,526.0,1/19/2021 01:15,1/19/2021 02:06,1/19/2021 02:23,1/20/2021 00:32,1/20/2021 03:08,1/20/2021 04:40,104,1/20/2021 06:21,526.0,1/20/2021 06:58,1/21/2021 14:23,Jan,12-21,2021
Kern,CANEBRAKE,1/18 ‐ 1/20,RAR0630,121.0,1/19/2021 01:56,1/19/2021 02:30,1/19/2021 02:42,1/19/2021 23:25,1/19/2021 23:42,‐,‐,1/20/2021 03:11,121.0,1/20/2021 03:41,1/21/2021 14:06,Jan,12-21,2021
Kern,CONDOR,1/18 ‐ 1/20,RAR1542,331.0,‐,1/19/2021 02:36,1/19/2021 02:50,1/20/2021 00:32,1/20/2021 02:57,‐,‐,1/20/2021 08:48,331.0,1/20/2021 09:25,1/21/2021 14:34,Jan,12-21,2021
Kern,GNATCATCHER,1/18 ‐ 1/20,RAR6463,834.0,1/19/2021 02:25,1/19/2021 03:20,1/19/2021 03:47,1/20/2021 00:32,1/20/2021 03:00,‐,‐,1/20/2021 07:37,834.0,1/20/2021 08:48,1/21/2021 14:34,Jan,12-21,2021
Kern,GNATCATCHER,1/18 ‐ 1/20,CB,619.0,1/19/2021 02:25,1/19/2021 04:27,‐,1/20/2021 00:32,1/20/2021 03:00,1/20/2021 05:45,51,1/20/2021 08:22,619.0,1/20/2021 08:48,1/21/2021 14:34,Jan,12-21,2021
Kern,CONDOR,1/18 ‐ 1/20,CB,1099.0,‐,1/19/2021 07:05,1/19/2021 07:17,1/20/2021 00:32,1/20/2021 02:57,1/20/2021 05:48,75,1/20/2021 07:12,1099.0,1/20/2021 09:25,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,SAND CANYON,1/18 ‐ 1/20,RAR0191,9.0,‐,1/18/2021 06:50,1/18/2021 06:58,1/21/2021 09:09,1/21/2021 09:28,‐,‐,1/21/2021 12:03,9.0,‐,1/21/2021 14:23,Jan,12-21,2021
Los Angeles,HILLFIELD,1/18 ‐ 1/20,CB,1613.0,1/18/2021 09:57,1/18/2021 10:08,1/18/2021 10:20,1/18/2021 14:22,1/18/2021 14:52,1/18/2021 15:40,468,1/18/2021 16:22,1613.0,1/18/2021  17:21,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,COBRA,1/18 ‐ 1/20,CB,1712.0,1/19/2021 01:12,1/19/2021 01:23,1/19/2021 01:28,1/19/2021 23:33,‐,1/19/2021 04:39,1037,1/20/2021 03:23,1712.0,1/19/2021 04:59,1/21/2021 14:06,Jan,12-21,2021
Los Angeles,LOUCKS,1/18 ‐ 1/20,RAR3431 (SHOVEL),55.0,1/18/2021 07:25,1/19/2021 01:23,‐,1/20/2021 08:12,1/20/2021 09:26,‐,‐,1/20/2021 11:25,55.0,1/20/2021 11:45,1/21/2021 14:23,Jan,12-21,2021
Los Angeles,SHOVEL,1/18 ‐ 1/20,RAR3431,54.0,1/18/2021 07:25,1/19/2021 01:23,1/19/2021 01:32,1/20/2021 08:12,1/20/2021 09:26,‐,‐,1/20/2021 11:25,54.0,1/20/2021 11:45,‐,Jan,12-21,2021
Los Angeles,ARLENE,1/18 ‐ 1/20,CB,596.0,1/19/2021 01:14,1/19/2021 01:43,1/19/2021 02:06,1/20/2021 02:51,1/20/2021 03:42,‐,‐,1/20/2021 07:18,596.0,1/20/2021 07:34,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,HILLFIELD,1/18 ‐ 1/20,CB,1615.0,1/19/2021 01:18,1/19/2021 01:43,1/19/2021 01:59,1/20/2021 02:52,1/20/2021 03:03,1/18/2021 15:40,468,1/20/2021 08:30,1615.0,1/20/2021 08:51,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,RACER,1/18 ‐ 1/20,"BF59341, BF59097",723.0,1/19/2021 01:24,1/19/2021 01:43,1/19/2021 02:06,1/19/2021 23:33,1/20/2021 00:04,1/19/2021 04:30,548,1/20/2021 02:15,723.0,1/19/2021 04:52,1/21/2021 14:23,Jan,12-21,2021
Los Angeles,JULIUS,1/18 ‐ 1/20,CB,3153.0,1/19/2021 01:25,1/19/2021 02:01,1/19/2021 02:24,1/20/2021 02:15,ircuit imminent re‐en),1/19/2021 03:53,1151,1/20/2021 04:16,3153.0,1/20/2021 05:06,‐,Jan,12-21,2021
Los Angeles,MARCUS,1/18 ‐ 1/20,CB,2042.0,1/19/2021 01:28,1/19/2021 02:01,1/19/2021 02:24,1/20/2021 11:31,ircuit imminent re‐en),1/19/2021 02:03,1519,1/20/2021 14:11,2042.0,1/20/2021 15:13,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,SAND CANYON,1/18 ‐ 1/20,RAR0290,52.0,1/19/2021 01:04,1/19/2021 02:42,1/19/2021 02:55,1/20/2021 09:35,‐,‐,‐,1/20/2021 12:14,52.0,‐,1/21/2021 14:23,Jan,12-21,2021
Los Angeles,DAVENPORT,1/18 ‐ 1/20,RAR0050,331.0,1/19/2021 00:52,1/19/2021 03:05,1/19/2021 03:27,1/19/2021 23:25,1/19/2021 23:40,‐,‐,1/20/2021 09:14,331.0,1/20/2021 10:03,1/21/2021 14:06,Jan,12-21,2021
Los Angeles,MOCCASIN,1/18 ‐ 1/20,CB,1442.0,1/18/2021 10:19,1/19/2021 03:15,‐,1/19/2021 23:33,1/19/2021 23:56,1/20/2021 01:47,310,1/20/2021 03:10,1442.0,1/20/2021 03:36,1/21/2021 14:23,Jan,12-21,2021
Los Angeles,TOGA,1/18 ‐ 1/20,CB,2119.0,1/19/2021 02:30,1/19/2021 03:15,1/19/2021 03:44,1/19/2021 18:02,1/20/2021 11:56,1/19/2021 23:09,1076,1/20/2021 15:14,2119.0,1/20/2021 19:36,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,ANACONDA,1/18 ‐ 1/20,RCS0119,1694.0,1/19/2021 02:56,1/19/2021 03:16,1/19/2021 03:37,1/19/2021 22:20,‐,‐,‐,1/19/2021 23:03,1694.0,‐,1/21/2021 14:06,Jan,12-21,2021
Los Angeles,CAESAR,1/18 ‐ 1/20,CB,1413.0,1/18/2021 10:21,1/19/2021 03:16,1/19/2021 03:44,1/20/2021 11:31,1/20/2021 12:00,1/19/2021 13:19,720,1/20/2021 13:21,1413.0,‐,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,PICK,1/18 ‐ 1/20,CB,1005.0,‐,1/19/2021 03:25,‐,1/20/2021 00:56,1/20/2021 05:55,1/20/2021 03:15,420,1/20/2021 03:33,1005.0,‐,1/21/2021 14:23,Jan,12-21,2021
Los Angeles,PYTHON,1/18 ‐ 1/20,RAR0066,1047.0,‐,1/19/2021 03:48,1/19/2021 04:25,1/19/2021 23:33,‐,1/20/2021 05:42,1018,1/20/2021 12:04,1047.0,‐,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,PYTHON,1/18 ‐ 1/20,RAR0215,114.0,‐,1/19/2021 03:50,1/19/2021 04:25,1/19/2021 23:33,‐,‐,‐,1/20/2021 12:01,114.0,‐,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,RED BOX,1/18 ‐ 1/20,RAR9578,30.0,1/19/2021 01:06,1/19/2021 04:11,‐,1/20/2021 09:48,1/20/2021 09:54,‐,‐,1/20/2021 13:02,30.0,1/20/2021 13:16,‐,Jan,12-21,2021
Los Angeles,CLARINET,1/18 ‐ 1/20,RAR0297,15.0,1/19/2021 02:10,1/19/2021 04:22,1/19/2021 04:43,1/20/2021 02:51,1/20/2021 03:17,‐,‐,1/20/2021 12:43,15.0,1/20/2021 14:36,1/21/2021 14:06,Jan,12-21,2021
Los Angeles,VETERANS,1/18 ‐ 1/20,RAR0117,21.0,1/19/2021 04:09,1/19/2021 04:37,1/19/2021 05:02,1/21/2021 09:09,1/20/2021 11:28,1/20/2021 13:37,4,1/21/2021 12:53,21.0,‐,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,CALGROVE,1/18 ‐ 1/20,RAR0071,24.0,1/19/2021 03:53,1/19/2021 04:56,1/19/2021 05:06,1/20/2021 14:26,1/20/2021 14:36,‐,‐,1/20/2021 17:27,24.0,1/20/2021 18:35,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,SAND CANYON,1/18 ‐ 1/20,CB,645.0,1/19/2021 02:13,1/19/2021 05:23,1/19/2021 06:22,1/20/2021 09:35,1/20/2021 09:56,1/20/2021 11:10,413,1/20/2021 11:18,645.0,1/20/2021 20:51,1/21/2021 14:23,Jan,12-21,2021
Los Angeles,DE MILLE,1/18 ‐ 1/20,RAR0081,243.0,‐,1/19/2021 08:52,1/19/2021 09:26,1/20/2021 10:42,1/20/2021 10:57,‐,‐,1/20/2021 18:33,243.0,1/20/2021 19:07,‐,Jan,12-21,2021
Los Angeles,LOPEZ,1/18 ‐ 1/20,RAR0048,169.0,‐,1/19/2021 09:08,1/19/2021 09:36,1/20/2021 10:58,1/20/2021 11:47,1/20/2021 13:58,22,1/20/2021 15:33,169.0,1/20/2021 17:49,‐,Jan,12-21,2021
Los Angeles,CUTHBERT,1/18 ‐ 1/20,CB,76.0,‐,1/19/2021 11:53,‐,1/20/2021 10:54,1/20/2021 11:06,‐,‐,1/20/2021 15:32,76.0,1/20/2021 15:55,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,KINSEY,1/18 ‐ 1/20,RAR0302 AND RAR0452,18.0,‐,1/19/2021 13:27,1/19/2021 14:36,1/19/2021 20:37,1/19/2021 21:43,1/19/2021 10:20,6,1/20/2021 01:29,18.0,1/20/2021 01:45,1/21/2021 14:06,Jan,12-21,2021
Los Angeles,BOUQUET,1/18 ‐ 1/20,CB,757.0,1/19/2021 02:06,1/19/2021 13:42,1/19/2021 13:56,1/20/2021 12:07,1/20/2021 12:15,1/20/2021 15:55,323,1/21/2021 11:35,757.0,‐,1/21/2021 14:34,Jan,12-21,2021
Los Angeles,DAVENPORT,1/18 ‐ 1/20,CB,1121.0,1/19/2021 02:06,1/19/2021 13:42,1/19/2021 14:07,1/19/2021 23:25,1/19/2021 23:40,1/20/2021 01:01,137,1/20/2021 09:32,1121.0,1/20/2021 11:45,1/21/2021 14:06,Jan,12-21,2021
Los Angeles,ESCONDIDO,1/18 ‐ 1/20,CB,0.0,‐,1/19/2021 13:42,‐,1/19/2021 23:25,‐,‐,‐,1/20/2021 04:12,0.0,‐,‐,Jan,12-21,2021
Los Angeles,TUBA,1/18 ‐ 1/20,RAR0225,25.0,‐,1/19/2021 13:45,1/19/2021 14:07,1/20/2021 02:52,1/20/2021 03:27,‐,‐,1/20/2021 06:24,25.0,1/20/2021 06:57,1/21/2021 14:23,Jan,12-21,2021
Los Angeles,DIAMONDBACK,1/18 ‐ 1/20,RCS6485‐1,2.0,1/19/2021 04:31,1/19/2021 14:06,‐,1/19/2021 23:33,‐,‐,‐,1/20/2021 03:33,2.0,‐,1/21/2021 14:06,Jan,12-21,2021
Los Angeles,LYONS,1/18 ‐ 1/20,CB,3718.0,‐,1/19/2021 14:17,‐,1/19/2021 23:54,1/20/2021 00:18,1/20/2021 00:48,629,1/20/2021 01:36,3718.0,1/20/2021 01:48,1/21/2021 14:23,Jan,12-21,2021
Los Angeles;Ventura,ENERGY,1/18 ‐ 1/20,"GS1321‐4, GS7920‐1",46.0,1/18/2021 06:30,1/18/2021 10:37,1/18/2021 10:56,1/18/2021 15:26,1/18/2021 15:44,1/18/2021 16:21,9,1/18/2021 17:41,46.0,1/18/2021 17:54,1/21/2021 14:34,Jan,12-21,2021
Los Angeles;Ventura,GUITAR,1/18 ‐ 1/20,RAR0402,42.0,1/18/2021 11:21,1/19/2021 03:22,1/19/2021 03:36,1/20/2021 13:59,1/20/2021 14:14,‐,‐,1/21/2021 11:49,42.0,1/20/2021 23:06,1/21/2021 14:34,Jan,12-21,2021
Los Angeles;Ventura,ENERGY,1/18 ‐ 1/20,RAR0012,37.0,1/19/2021 00:44,1/19/2021 03:38,1/19/2021 04:03,1/20/2021 15:48,‐,1/20/2021 18:52,7,1/20/2021 21:14,37.0,1/20/2021 22:21,1/21/2021 14:34,Jan,12-21,2021
Los Angeles;Ventura,BIG ROCK,1/18 ‐ 1/20,PS0473,119.0,1/18/2021 07:28,1/19/2021 04:14,1/19/2021 04:32,1/20/2021 16:00,1/20/2021 02:02,‐,‐,1/20/2021 19:40,119.0,1/20/2021 19:52,1/21/2021 14:34,Jan,12-21,2021
Los Angeles;Ventura,ENERGY,1/18 ‐ 1/20,RAR0490,817.0,‐,1/19/2021 08:33,1/19/2021 13:17,1/20/2021 15:48,1/20/2021 16:09,1/20/2021 17:39,562,1/21/2021 10:14,817.0,1/21/2021 11:32,1/21/2021 14:34,Jan,12-21,2021
