Circuit,Weather Station,Wind Sustained,Gust Sustained,Thresholds (Sustained/ Gust),FPI Value,Reasons for De‚ÄêEnergization,month,days,year,Wind Threshold,Gust Threshold,Wind Trigger Percentage,Gust Trigger Percentage,Combined Trigger Percentage,start day,end day,start,end
VERA CRUZ,SCE Carbon Canyon,31.4,43.3,28./42,12.0,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,28.0,42.0,112.14285714285714,103.09523809523809,112.14285714285714,29,29,2020-11-29,2020-11-29
TWIN LAKES,SCE COCHRAN ST,27.3,49.3,31/45,12.99,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,45.0,88.06451612903226,109.55555555555554,109.55555555555554,29,29,2020-11-29,2020-11-29
BIG ROCK,SCE COCHRAN ST,26.2,37.4,31/46,13.0,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,84.51612903225806,81.30434782608695,84.51612903225806,29,29,2020-11-29,2020-11-29
FINGAL,SCE Twin Pines,26.8,53.1,31/46,12.17,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,86.45161290322581,115.43478260869566,115.43478260869566,29,29,2020-11-29,2020-11-29
GUNSITE,SCE Mias Canyon,28.3,42.0,31/46,13.14,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,91.29032258064517,91.30434782608695,91.30434782608695,29,29,2020-11-29,2020-11-29
FINGAL,SCE Twin Pines,26.8,53.1,31/46,12.17,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,86.45161290322581,115.43478260869566,115.43478260869566,29,29,2020-11-29,2020-11-29
GUNSITE,SCE Mias Canyon,28.3,42.0,31/46,13.14,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,91.29032258064517,91.30434782608695,91.30434782608695,29,29,2020-11-29,2020-11-29
METTLER,SCE CUMMINGS VALLEY,27.0,40.0,23/37,12.0,"Exceeded Threshold, Exceeded FPI,",Nov,14-18,2020,23.0,37.0,117.3913043478261,108.10810810810811,117.3913043478261,14,18,2020-11-14,2020-11-18
CUDDEBACK,SCE CUMMINGS VALLEY,27.0,40.0,23/37,12.0,"Exceeded Threshold, Exceeded FPI,",Nov,14-18,2020,23.0,37.0,117.3913043478261,108.10810810810811,117.3913043478261,14,18,2020-11-14,2020-11-18
GRAPEVINE PEAK,GRAPEVINE PEAK (RAWS),32.0,40.0,31/46,12.07,"Exceeded Threshold, Exceeded FPI,",Nov,14-18,2020,31.0,46.0,103.2258064516129,86.95652173913044,103.2258064516129,14,18,2020-11-14,2020-11-18
FROZEN,GRAPEVINE PEAK (RAWS),32.0,40.0,31/46,13.08,"Exceeded Threshold, Exceeded FPI,",Nov,14-18,2020,31.0,46.0,103.2258064516129,86.95652173913044,103.2258064516129,14,18,2020-11-14,2020-11-18
TUFA,SCE BODIE STATE PARK,26.0,38.0,31/46,13.06,"High Wind Trend, Exceeded FPI,",Nov,14-18,2020,31.0,46.0,83.87096774193549,82.6086956521739,83.87096774193549,14,18,2020-11-14,2020-11-18
CAIN RANCH,SCE RUSH CREEK,28.8,56.2,31/46,13.18,"Exceeded Threshold, Exceeded FPI,",Nov,14-18,2020,31.0,46.0,92.90322580645162,122.17391304347827,122.17391304347827,14,18,2020-11-14,2020-11-18
SHOVEL,SCE SIERRA PALOMA,22.8,31.9,25/40,12.18,"High Wind Trend, Exceeded FPI,",Nov,14-18,2020,25.0,40.0,91.2,79.75,91.2,14,18,2020-11-14,2020-11-18
SAND CANYON,SCE MAGIC MOUNTAIN TRUCK TRAIL,36.0,49.0,31/46,13.34,"Exceeded Threshold, Exceeded FPI,",Nov,14-18,2020,31.0,46.0,116.12903225806453,106.5217391304348,116.12903225806453,14,18,2020-11-14,2020-11-18
BIRCHIM,SCE ROUND VALLEY,32.5,49.8,31/46,14.08,"Exceeded Threshold, Exceeded FPI,",Nov,14-18,2020,31.0,46.0,104.83870967741935,108.26086956521739,108.26086956521739,14,18,2020-11-14,2020-11-18
BIRCHIM,SCE PINE CREEK,27.6,50.1,31/46,14.08,"Exceeded Threshold, Exceeded FPI,",Nov,14-18,2020,31.0,46.0,89.03225806451613,108.91304347826087,108.91304347826087,14,18,2020-11-14,2020-11-18
REVERSE PEAK,SCE CRESTVIEW RADIO,16.1,48.2,31/46,12.47,"Exceeded Threshold, Exceeded FPI,",Nov,14-18,2020,31.0,46.0,51.935483870967744,104.78260869565219,104.78260869565219,14,18,2020-11-14,2020-11-18
GNATCATCHER,SCE CUMMINGS VALLEY,26.11,35.3,31/46,12.75,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,84.22580645161291,76.7391304347826,84.22580645161291,24,28,2020-11-24,2020-11-28
TANAGER,SCE CUMMINGS VALLEY,27.6,38.7,31/44,12.0,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,44.0,89.03225806451613,87.95454545454547,89.03225806451613,24,28,2020-11-24,2020-11-28
CONDOR,SCE BEAR MOUNTAIN 2,27.2,41.9,31/46,12.0,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,87.74193548387098,91.08695652173913,91.08695652173913,24,28,2020-11-24,2020-11-28
CONDOR,SCE CUMMINGS VALLEY,27.2,41.9,31/46,12.0,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,87.74193548387098,91.08695652173913,91.08695652173913,24,28,2020-11-24,2020-11-28
PICK,SCE RED ROVER MINE,21.3,43.6,31/46,12.11,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,68.70967741935485,94.78260869565219,94.78260869565219,24,28,2020-11-24,2020-11-28
BOOTLEGGER,ACTON CANYON,25.17,41.94,31/46,13.01,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,81.19354838709678,91.17391304347827,91.17391304347827,24,28,2020-11-24,2020-11-28
SHOVEL,LETTEAU CANYON,23.6,44.0,25/40,12.12,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,25.0,40.0,94.4,110.00000000000001,110.00000000000001,24,28,2020-11-24,2020-11-28
SHOVEL,LETTEAU CANYON,21.77,44.5,25/40,12.12,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,25.0,40.0,87.08,111.25,111.25,24,28,2020-11-24,2020-11-28
LOUCKS,LETTEAU CANYON,23.6,44.0,31/46,12.1,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,76.12903225806453,95.65217391304348,95.65217391304348,24,28,2020-11-24,2020-11-28
DAVENPORT,SCE RATTLE SNAKE RD,23.61,43.99,31/46,12.11,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,76.16129032258064,95.6304347826087,95.6304347826087,24,28,2020-11-24,2020-11-28
DAVENPORT,RATTLE SNAKE RD,16.84,43.04,31/46,12.11,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,54.32258064516129,93.56521739130434,93.56521739130434,24,28,2020-11-24,2020-11-28
SAND CANYON,MAGIC MTN TRUCK TRAIL,25.39,45.23,31/46,13.1,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,81.90322580645162,98.32608695652173,98.32608695652173,24,28,2020-11-24,2020-11-28
SAND CANYON,MAGIC MTN TRUCK TRAIL,37.0,52.8,31/46,13.1,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,119.35483870967742,114.78260869565217,119.35483870967742,24,28,2020-11-24,2020-11-28
CAMP BALDY,SCE SAN ANTONIO CREEK RD,17.02,45.52,31/46,12.84,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,54.903225806451616,98.95652173913044,98.95652173913044,24,28,2020-11-24,2020-11-28
BIG ROCK,COCHRAN ST,33.67,48.08,31/46,12.1,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,108.61290322580646,104.52173913043478,108.61290322580646,24,28,2020-11-24,2020-11-28
BIG ROCK,COCHRAN ST,29.8,43.3,31/46,12.0,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,96.12903225806451,94.13043478260869,96.12903225806451,24,28,2020-11-24,2020-11-28
ENERGY,BROWNS CANYON,31.2,49.8,31/46,12.1,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,100.64516129032258,108.26086956521739,108.26086956521739,24,28,2020-11-24,2020-11-28
ENERGY,WEST WOOSLEY,29.46,41.87,31/46,12.1,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,95.03225806451613,91.02173913043478,95.03225806451613,24,28,2020-11-24,2020-11-28
ATENTO,SCE Rancho Santa Margarita,19.1,41.57,31/46,12.93,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,61.61290322580646,90.3695652173913,90.3695652173913,24,28,2020-11-24,2020-11-28
ATENTO,SCE Baker Canyon,23.99,42.89,31/46,12.93,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,77.38709677419354,93.23913043478261,93.23913043478261,24,28,2020-11-24,2020-11-28
ATENTO,SCE Rancho Santa Margarita,19.1,41.57,31/46,12.93,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,61.61290322580646,90.3695652173913,90.3695652173913,24,28,2020-11-24,2020-11-28
RUSTIC,SCE TRABUCO CANYON 2,26.72,37.85,31/46,12.86,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,86.19354838709677,82.28260869565219,86.19354838709677,24,28,2020-11-24,2020-11-28
AMETHYST,DEER CANYON,25.7,57.5,31/46,12.51,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,82.9032258064516,125.0,125.0,24,28,2020-11-24,2020-11-28
VARGAS,SCE SYCAMORE CANYON RD,15.22,39.24,31/46,12.92,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,49.096774193548384,85.30434782608695,85.30434782608695,24,28,2020-11-24,2020-11-28
ICEHOUSE,SCE ICEHOUSE CANYON RD,17.02,45.52,31/46,12.0,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,54.903225806451616,98.95652173913044,98.95652173913044,24,28,2020-11-24,2020-11-28
CALSTATE,SCE DEVIL CANYON,42.62,65.25,31/46,13.95,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,137.48387096774192,141.84782608695653,141.84782608695653,24,28,2020-11-24,2020-11-28
BLUE CUT,SCE CAJON PASS,23.29,43.99,31/46,12.0,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,75.12903225806451,95.6304347826087,95.6304347826087,24,28,2020-11-24,2020-11-28
IMPALA,LYTE CREEK WASH,25.7,36.83,31/46,12.95,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,82.9032258064516,80.06521739130434,82.9032258064516,24,28,2020-11-24,2020-11-28
NORTHPARK,SCE Devore Heights,16.32,41.5,31/46,13.99,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,52.645161290322584,90.21739130434783,90.21739130434783,24,28,2020-11-24,2020-11-28
NORTHPARK,SCE DEVORE HEIGHTS,16.32,41.5,31/46,13.92,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,52.645161290322584,90.21739130434783,90.21739130434783,24,28,2020-11-24,2020-11-28
ACOSTA,SAN SEVAIN FLATS,29.56,61.16,31/46,13.92,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,95.35483870967741,132.9565217391304,132.9565217391304,24,28,2020-11-24,2020-11-28
ANTON,HAPPY CAMP RD,32.84,48.37,31/46,12.05,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,105.93548387096776,105.15217391304348,105.93548387096776,24,28,2020-11-24,2020-11-28
TAPO,TAPO CANYON,24.7,45.8,31/46,13.05,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,79.6774193548387,99.56521739130434,99.56521739130434,24,28,2020-11-24,2020-11-28
TWIN LAKES,SCE COCHRAN ST,23.82,55.09,31/46,12.0,"High Wind Trend, Exceeded FPI,",Nov,24-28,2020,31.0,46.0,76.83870967741936,119.7608695652174,119.7608695652174,24,28,2020-11-24,2020-11-28
ACOSTA,SCE Big Tree Cucamonga,36.1,64.52,31 / 46,12.56,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,116.45161290322581,140.26086956521738,140.26086956521738,23,28,2020-10-23,2020-10-28
ACOSTA,SCE Summit Ave,34.63,67.81,31 / 46,12.56,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,111.70967741935485,147.41304347826087,147.41304347826087,23,28,2020-10-23,2020-10-28
AMETHYST,SCE Deer Canyon,30.94,51.0,31 / 46,12.55,"Exceeded Threshold, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,99.80645161290323,110.86956521739131,110.86956521739131,23,28,2020-10-23,2020-10-28
ANTON,SCE Happy Camp,34.54,56.85,31 / 46,12.51,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,111.41935483870968,123.58695652173914,123.58695652173914,23,28,2020-10-23,2020-10-28
ANTON,SCE Happy Camp,34.54,56.85,31 / 46,12.51,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,111.41935483870968,123.58695652173914,123.58695652173914,23,28,2020-10-23,2020-10-28
AVANTI,SCE W Little League Dr,40.55,73.65,31 / 46,12.56,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,130.8064516129032,160.1086956521739,160.1086956521739,23,28,2020-10-23,2020-10-28
BEAR VALLEY,SCE Kilkare Rd,8.94,29.88,18 / 29,13.24,"Exceeded Threshold, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,18.0,29.0,49.666666666666664,103.03448275862068,103.03448275862068,23,28,2020-10-23,2020-10-28
BEAR VALLEY,SCE Big Falls 2,13.48,29.0,18 / 29,13.24,"High Wind Trend, Exceeded FPI,",Oct,23-28,2020,18.0,29.0,74.8888888888889,100.0,100.0,23,28,2020-10-23,2020-10-28
BIG ROCK,SCE Cochran St,27.0,70.0,31 / 46,12.57,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,87.09677419354838,152.17391304347828,152.17391304347828,23,28,2020-10-23,2020-10-28
BOOTLEGGER,SCE Palamino Dr,25.63,47.86,31 / 46,14.15,"Exceeded Threshold, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,82.6774193548387,104.04347826086958,104.04347826086958,23,28,2020-10-23,2020-10-28
CABANA,SCE Badger Canyon,46.5,63.64,31 / 46,12.57,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,150.0,138.34782608695653,150.0,23,28,2020-10-23,2020-10-28
CALSTATE,SCE Badger Canyon,38.32,65.74,31 / 46,12.57,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,123.61290322580645,142.91304347826085,142.91304347826085,23,28,2020-10-23,2020-10-28
CANEBRAKE,SCE Canebrake Creek,29.5,47.9,31 / 46,12.23,"Exceeded Threshold, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,95.16129032258065,104.13043478260869,104.13043478260869,23,28,2020-10-23,2020-10-28
CLUB OAKS,SCE Arrowhead Springs Rd,37.77,59.7,31 / 46,12.52,"Exceeded Threshold, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,121.83870967741936,129.7826086956522,129.7826086956522,23,28,2020-10-23,2020-10-28
DAVENPORT,SCE Rattle Snake Rd,23.78,49.47,31 / 46,12.57,"Exceeded Threshold, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,76.70967741935483,107.54347826086956,107.54347826086956,23,28,2020-10-23,2020-10-28
ECHO,SCE Arrowhead Springs Rd,20.42,45.89,31 / 46,12.52,"High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,65.87096774193549,99.76086956521739,99.76086956521739,23,28,2020-10-23,2020-10-28
ENERGY,SCE Oat Mountain,35.63,54.51,31 / 46,12.54,"Exceeded Threshold, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,114.93548387096774,118.5,118.5,23,28,2020-10-23,2020-10-28
ENERGY,SCE Browns Canyon,48.62,68.61,31 / 46,12.54,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,156.83870967741936,149.15217391304347,156.83870967741936,23,28,2020-10-23,2020-10-28
FERRARA,SCE San Antonio Canyon,15.15,48.44,31 / 46,14.3,"Exceeded Threshold, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,48.87096774193548,105.30434782608695,105.30434782608695,23,28,2020-10-23,2020-10-28
GALENA,SCE Thunder Ridge,33.0,43.0,31 / 46,14.0,"Exceeded Threshold, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,106.4516129032258,93.47826086956522,106.4516129032258,23,28,2020-10-23,2020-10-28
GOWAN,SCE Whitney Dr,30.2,48.4,31 / 46,12.57,"Exceeded Threshold, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,97.41935483870967,105.21739130434781,105.21739130434781,23,28,2020-10-23,2020-10-28
GUITAR,SCE Tapo Canyon,32.11,44.21,31 / 46,12.51,"Exceeded Threshold, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,103.58064516129033,96.10869565217392,103.58064516129033,23,28,2020-10-23,2020-10-28
HILLFIELD,SCE Solemint Mtwy,36.64,54.24,31 / 46,12.58,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,118.19354838709677,117.91304347826087,118.19354838709677,23,28,2020-10-23,2020-10-28
IMPALA,SCE Lytle Creek Wash,42.79,60.13,31 / 46,12.58,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,138.03225806451613,130.71739130434784,138.03225806451613,23,28,2020-10-23,2020-10-28
JEEP,SCE Amador Ln,26.98,40.92,27 / 43,12.26,"High Wind Trend, Exceeded FPI,",Oct,23-28,2020,27.0,43.0,99.92592592592592,95.16279069767442,99.92592592592592,23,28,2020-10-23,2020-10-28
KICKAPOO TRAIL,SCE Little Morongo Rd,25.16,45.74,31 / 46,12.2,"High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,81.16129032258065,99.43478260869566,99.43478260869566,23,28,2020-10-23,2020-10-28
KIMDALE,SCE Lake Mathews,33.27,45.16,31 / 45,12.56,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,45.0,107.3225806451613,100.35555555555555,107.3225806451613,23,28,2020-10-23,2020-10-28
LOPEZ,SCE Meyers Canyon,19.88,54.43,31 / 46,12.55,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,64.12903225806451,118.32608695652173,118.32608695652173,23,28,2020-10-23,2020-10-28
RUSTIC,SCE Trabuco Canyon Rd 2,13.3,59.55,31 / 46,12.49,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,42.903225806451616,129.45652173913044,129.45652173913044,23,28,2020-10-23,2020-10-28
SHOVEL,SCE Letteau Canyon,28.93,52.46,25 / 40,12.56,"Exceeded Threshold, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,25.0,40.0,115.72,131.15,131.15,23,28,2020-10-23,2020-10-28
SUTT,SCE Arrowhead Springs Rd,14.0,47.79,31 / 46,12.57,"Exceeded Threshold, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,45.16129032258064,103.89130434782608,103.89130434782608,23,28,2020-10-23,2020-10-28
SUTT,SCE Arrowhead Springs Rd,35.97,59.99,31 / 46,12.57,"Exceeded Threshold, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,116.03225806451614,130.41304347826087,130.41304347826087,23,28,2020-10-23,2020-10-28
SWEETWATER,SCE Kendell Drive,36.23,62.25,31 / 46,12.57,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,116.87096774193549,135.32608695652172,135.32608695652172,23,28,2020-10-23,2020-10-28
TAIWAN,SCE Santiago Canyon Rd,29.5,54.36,31 / 46,12.48,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,95.16129032258065,118.17391304347827,118.17391304347827,23,28,2020-10-23,2020-10-28
TAPO,SCE Tapo Canyon,32.0,44.0,31 / 46,12.55,"Exceeded Threshold, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,103.2258064516129,95.65217391304348,103.2258064516129,23,28,2020-10-23,2020-10-28
TWIN LAKES,SCE Cochran St,27.12,69.85,31 / 45,12.57,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,45.0,87.48387096774194,155.22222222222223,155.22222222222223,23,28,2020-10-23,2020-10-28
VERDEMONT,SCE W Little League Dr,40.55,73.65,31 / 46,12.57,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,31.0,46.0,130.8064516129032,160.1086956521739,160.1086956521739,23,28,2020-10-23,2020-10-28
VIDEO,SCE Henninger Flats Rd,21.75,49.76,28 / 45,12.54,"Exceeded Threshold, 1% Historical, High Wind Trend, Exceeded FPI,",Oct,23-28,2020,28.0,45.0,77.67857142857143,110.57777777777777,110.57777777777777,23,28,2020-10-23,2020-10-28
SAND CANYON,SCE Magic Mountain Truck Trail,33.36,49.98,31/46,13.0,"Exceeded Threshold, Exceeded FPI,",Dec,16-24,2020,31.0,46.0,107.61290322580646,108.65217391304347,108.65217391304347,16,24,2020-12-16,2020-12-24
NORTHPARK,SCE W Little League Dr,30.7,42.8,31/46,13.0,"High Wind Trend, Exceeded FPI,",Dec,16-24,2020,31.0,46.0,99.03225806451613,93.04347826086956,99.03225806451613,16,24,2020-12-16,2020-12-24
ECHO,SCE Arrowhead Springs Rd,29.7,44.4,31/46,13.0,"High Wind Trend, Exceeded FPI,",Dec,16-24,2020,31.0,46.0,95.80645161290322,96.52173913043478,96.52173913043478,16,24,2020-12-16,2020-12-24
SUTT,SCE Arrowhead Springs Rd,29.7,44.4,31/46,13.0,"High Wind Trend, Exceeded FPI,",Dec,16-24,2020,31.0,46.0,95.80645161290322,96.52173913043478,96.52173913043478,16,24,2020-12-16,2020-12-24
CLUB OAKS,SCE Arrowhead Springs Rd,29.7,44.4,31/46,13.0,"High Wind Trend, Exceeded FPI,",Dec,16-24,2020,31.0,46.0,95.80645161290322,96.52173913043478,96.52173913043478,16,24,2020-12-16,2020-12-24
ENERGY,SCE Browns Canyon,32.0,46.3,31/46,13.0,"Exceeded Threshold, Exceeded FPI,",Dec,16-24,2020,31.0,46.0,103.2258064516129,100.65217391304347,103.2258064516129,16,24,2020-12-16,2020-12-24
ANTON,SCE Happy Camp Rd,30.3,47.4,31/46,12.9,"Exceeded Threshold, Exceeded FPI,",Dec,16-24,2020,31.0,46.0,97.74193548387096,103.04347826086956,103.04347826086956,16,24,2020-12-16,2020-12-24
ENERGY,SCE Browns Canyon,32.0,46.3,31/46,13.0,"Exceeded Threshold, Exceeded FPI,",Dec,16-24,2020,31.0,46.0,103.2258064516129,100.65217391304347,103.2258064516129,16,24,2020-12-16,2020-12-24
BIRCHIM,SCE Round Valley,31.5,51.7,31/46,12.0,"Exceeded Threshold, Exceeded FPI,",Dec,16-24,2020,31.0,46.0,101.61290322580645,112.3913043478261,112.3913043478261,16,24,2020-12-16,2020-12-24
